spanish,english,imageUrl
avión,airplane,airplane.png
manzana,apple,apple.png
bebé,baby,baby.png
plátano,banana,banana.png
murciélago,bat,bat.png
oso,bear,bear.png
cama,bed,bed.png
bicicleta,bicycle,bicycle.png
azul,blue,blue.png
barco,boat,boat.png
libros,books,book.png
botas,boots,boots.png
arco ,bow,bow.png
pan,bread,bread.png
marrón,brown,brown.png
mariposa,butterfly,butterfly.png
carro,car,car.png
zanahoria,carrot,carrot.png
gato,cat,cat.png
silla,chair,chair.png
queso,cheese,cheese.png
gallina,chicken,chicken.png
reloj,clock,clock.png
elote,corn,corn.png
vaca,cow,cow.png
taza,cup,cup.png
día,day,day.png
dados,dice,dice.png
perro,dog,dog.png
muñeca,doll,doll.jpg
puerta,door,door.png
tambor,drum,drum.png
huevos,eggs,egg.png
elefante,elephant,elephant.png
fuego,fire,fire.png
pez,fish,fish.png
banderas,flags,flags.png
mosca,fly,fly.png
tenedor,fork,fork.png
viernes,Friday,friday.png
fruta,fruit,fruit.png
vaso,glass,glass.png
gafas,glasses,glasses.png
cabra,goat,goat.png
oro,gold,gold.jpg
uvas,grapes,grapes.png
verde,green,green.png
martillo,hammer,hammer.png
mano,hand,hand.png
sombrero,hat,hat.png
miel,honey,honey.png
caballo,horse,horse.png
casa,house,house.png
insecto,insect,insect.png
chaqueta,jacket,jacket.png
llave,key,key.png
beso,kiss,kiss.png
koala,koala,koala.png
hoja,leaf,leaf.png
lechuga,lettuce,lettuce.png
medalla,medal,medal.png
micrófono,microphone,microphone.png
lunes,Monday,monday.png
dinero,money,money.png
montaña,mountain,mountains.png
champiñon,mushroom,mushroom.png
música,music,music.png
nido,nest,nest.png
anaranjado,orange,orange.png
pantalones,pants,pants.png
rosado,pink,pink.png
plato,plate,plate.png
calabaza,pumpkin,pumpkin.png
morado,purple,purple.png
reina,queen,queen.png
conejo,rabbit,rabbit.png
arco iris,rainbow,rainbow.png
leer,read,read.jpg
rojo,red,red.png
sábado,Saturday,saturday.png
oveja,sheep,sheep.png
camisa,shirt,shirt.png
zapato,shoe,shoe.png
serpiente,snake,snake.png
jabon,soap,soap.png
araña,spider,spider.png
cuchara,spoon,spoon.png
estrella,star,star.png
verano,summer,summer.png
domingo,Sunday,sunday.png
dulces,sweets,sweets.png
mesa,table,table.png
jueves,Thursday,thursday.png
martes,Tuesday,tuesday.png
pavo,turkey,turkey.png
agua,water,water.png
miércoles,Wednesday,wednesday.png
ventana,window,windown.png
invierno,winter,winter.png
xilófono,xylophone,xylophone.png
amarillo,yellow,yellow.png
